timestamp,buySellRatio,buyVol,sellVol
2026-05-06 23:25:00+00:00,0.7712,80.892,104.893
2026-05-06 23:30:00+00:00,0.8541,68.082,79.709
2026-05-06 23:35:00+00:00,0.7819,51.064,65.308
2026-05-06 23:40:00+00:00,1.3289,42.362,31.878
2026-05-06 23:45:00+00:00,0.6495,50.0,76.977
2026-05-06 23:50:00+00:00,2.2132,105.811,47.81
2026-05-06 23:55:00+00:00,1.5085,79.766,52.878
2026-05-07 00:00:00+00:00,1.3466,154.982,115.092
2026-05-07 00:05:00+00:00,0.7679,66.116,86.102
2026-05-07 00:10:00+00:00,2.3646,151.684,64.147
2026-05-07 00:15:00+00:00,0.497,46.258,93.079
2026-05-07 00:20:00+00:00,0.7873,92.401,117.362
2026-05-07 00:25:00+00:00,0.8314,97.373,117.119
2026-05-07 00:30:00+00:00,0.6241,159.126,254.98
2026-05-07 00:35:00+00:00,0.9911,299.207,301.9
2026-05-07 00:40:00+00:00,0.5923,297.112,501.615
2026-05-07 00:45:00+00:00,1.6405,424.043,258.483
2026-05-07 00:50:00+00:00,0.5515,195.2,353.974
2026-05-07 00:55:00+00:00,0.7406,184.587,249.24
2026-05-07 01:00:00+00:00,1.082,357.898,330.784
2026-05-07 01:05:00+00:00,0.5584,573.545,1027.031
2026-05-07 01:10:00+00:00,1.9081,579.779,303.851
2026-05-07 01:15:00+00:00,0.9399,274.335,291.873
2026-05-07 01:20:00+00:00,1.4471,283.919,196.196
2026-05-07 01:25:00+00:00,1.7893,216.94,121.243
2026-05-07 01:30:00+00:00,0.9795,174.154,177.805
2026-05-07 01:35:00+00:00,1.1359,146.626,129.079
2026-05-07 01:40:00+00:00,1.5563,157.279,101.058
2026-05-07 01:45:00+00:00,1.2073,95.071,78.748
2026-05-07 01:50:00+00:00,0.7939,192.358,242.301
2026-05-07 01:55:00+00:00,1.9463,148.006,76.044
2026-05-07 02:00:00+00:00,0.5995,118.452,197.577
2026-05-07 02:05:00+00:00,0.7887,119.303,151.264
2026-05-07 02:10:00+00:00,0.7173,224.019,312.296
2026-05-07 02:15:00+00:00,1.0269,204.002,198.664
2026-05-07 02:20:00+00:00,1.2803,212.774,166.189
2026-05-07 02:25:00+00:00,1.0348,158.021,152.712
2026-05-07 02:30:00+00:00,1.3416,576.668,429.849
2026-05-07 02:35:00+00:00,0.6754,79.83,118.205
2026-05-07 02:40:00+00:00,1.8206,133.078,73.095
2026-05-07 02:45:00+00:00,0.7455,212.776,285.397
2026-05-07 02:50:00+00:00,1.1427,164.03,143.551
2026-05-07 02:55:00+00:00,1.3557,192.506,141.995
2026-05-07 03:00:00+00:00,0.5445,95.176,174.784
2026-05-07 03:05:00+00:00,0.962,50.99,53.002
2026-05-07 03:10:00+00:00,0.7203,68.431,95.008
2026-05-07 03:15:00+00:00,0.8209,33.904,41.299
2026-05-07 03:20:00+00:00,0.8788,241.749,275.089
2026-05-07 03:25:00+00:00,1.3501,90.096,66.735
2026-05-07 03:30:00+00:00,0.4313,62.774,145.547
2026-05-07 03:35:00+00:00,0.5378,54.742,101.781
2026-05-07 03:40:00+00:00,0.3647,65.138,178.618
2026-05-07 03:45:00+00:00,0.88,72.701,82.619
2026-05-07 03:50:00+00:00,1.2445,112.281,90.219
2026-05-07 03:55:00+00:00,0.8268,168.397,203.683
2026-05-07 04:00:00+00:00,0.5864,179.946,306.842
2026-05-07 04:05:00+00:00,0.7479,368.536,492.786
2026-05-07 04:10:00+00:00,1.626,387.265,238.168
2026-05-07 04:15:00+00:00,2.714,298.267,109.901
2026-05-07 04:20:00+00:00,1.1707,94.534,80.749
2026-05-07 04:25:00+00:00,2.2192,238.263,107.366
2026-05-07 04:30:00+00:00,0.5868,71.638,122.086
2026-05-07 04:35:00+00:00,0.6315,42.735,67.669
2026-05-07 04:40:00+00:00,1.3519,103.135,76.289
2026-05-07 04:45:00+00:00,1.7137,169.594,98.962
2026-05-07 04:50:00+00:00,2.3934,138.657,57.932
2026-05-07 04:55:00+00:00,1.6836,85.4,50.724
2026-05-07 05:00:00+00:00,2.0004,292.906,146.422
2026-05-07 05:05:00+00:00,0.4754,96.161,202.295
2026-05-07 05:10:00+00:00,1.7953,452.003,251.767
2026-05-07 05:15:00+00:00,1.7311,184.993,106.866
2026-05-07 05:20:00+00:00,0.7261,75.755,104.332
2026-05-07 05:25:00+00:00,1.7767,127.091,71.533
2026-05-07 05:30:00+00:00,0.8562,76.137,88.929
2026-05-07 05:35:00+00:00,1.5138,97.669,64.518
2026-05-07 05:40:00+00:00,0.8611,51.361,59.646
2026-05-07 05:45:00+00:00,0.8062,36.281,45.0
2026-05-07 05:50:00+00:00,0.5606,94.559,168.673
2026-05-07 05:55:00+00:00,0.724,35.302,48.762
2026-05-07 06:00:00+00:00,0.5627,79.846,141.908
2026-05-07 06:05:00+00:00,0.5405,241.687,447.117
2026-05-07 06:10:00+00:00,0.7254,116.643,160.795
2026-05-07 06:15:00+00:00,2.6295,449.337,170.883
2026-05-07 06:20:00+00:00,1.7101,167.315,97.839
2026-05-07 06:25:00+00:00,1.7648,70.484,39.939
2026-05-07 06:30:00+00:00,2.6219,450.325,171.752
2026-05-07 06:35:00+00:00,1.3349,465.731,348.895
2026-05-07 06:40:00+00:00,1.3898,322.949,232.367
2026-05-07 06:45:00+00:00,0.6328,141.336,223.357
2026-05-07 06:50:00+00:00,1.7663,206.752,117.052
2026-05-07 06:55:00+00:00,1.9779,381.34,192.805
2026-05-07 07:00:00+00:00,2.2327,504.195,225.826
2026-05-07 07:05:00+00:00,1.3542,682.645,504.097
2026-05-07 07:10:00+00:00,1.4511,596.633,411.168
2026-05-07 07:15:00+00:00,0.8435,433.131,513.505
2026-05-07 07:20:00+00:00,0.6426,169.642,263.992
2026-05-07 07:25:00+00:00,0.3045,89.39,293.6
